embed_dim,model,split,acc,acc_L0,acc_L1,f1_L1,auroc,logo_f1
32,LR,Train,0.8125,0.8333,0.7778,0.7568,0.8444,0.23529411764705882
32,LR,Val,0.8667,0.8,1.0,0.8333,0.96,0.23529411764705882
32,LR,Test,0.6364,0.7059,0.4,0.3333,0.7059,0.23529411764705882
32,SVM,Train,0.9167,0.9667,0.8333,0.8824,0.9426,0.23529411764705882
32,SVM,Val,1.0,1.0,1.0,1.0,1.0,0.23529411764705882
32,SVM,Test,0.7273,0.8235,0.4,0.4,0.8,0.23529411764705882
32,DT,Train,0.9167,0.9333,0.8889,0.8889,0.9852,0.29411764705882354
32,DT,Val,1.0,1.0,1.0,1.0,1.0,0.29411764705882354
32,DT,Test,0.8182,0.8824,0.6,0.6,0.8353,0.29411764705882354
32,RF,Train,0.9792,1.0,0.9444,0.9714,1.0,0.2823529411764706
32,RF,Val,1.0,1.0,1.0,1.0,1.0,0.2823529411764706
32,RF,Test,0.9545,0.9412,1.0,0.9091,0.9882,0.2823529411764706
32,XGBoost,Train,0.8333,0.8667,0.7778,0.7778,0.8815,0.23529411764705882
32,XGBoost,Val,0.8667,0.9,0.8,0.8,0.98,0.23529411764705882
32,XGBoost,Test,0.8182,0.8235,0.8,0.6667,0.7941,0.23529411764705882
32,PCA+XGBoost,Train,0.875,0.9667,0.7222,0.8125,0.9389,0.2
32,PCA+XGBoost,Val,0.9333,0.9,1.0,0.9091,1.0,0.2
32,PCA+XGBoost,Test,0.8182,0.9412,0.4,0.5,0.7706,0.2
