embed_dim,model,split,acc,acc_L0,acc_L1,f1_L1,auroc,logo_f1
128,LR,Train,0.7708,0.7333,0.8333,0.7317,0.8685,0.2823529411764706
128,LR,Val,0.8,0.7,1.0,0.7692,0.98,0.2823529411764706
128,LR,Test,0.7273,0.6471,1.0,0.625,0.8353,0.2823529411764706
128,SVM,Train,1.0,1.0,1.0,1.0,1.0,0.27058823529411763
128,SVM,Val,1.0,1.0,1.0,1.0,1.0,0.27058823529411763
128,SVM,Test,0.9091,0.9412,0.8,0.8,0.9765,0.27058823529411763
128,DT,Train,0.8958,0.8667,0.9444,0.8718,0.9611,0.2
128,DT,Val,0.9333,0.9,1.0,0.9091,0.99,0.2
128,DT,Test,0.6818,0.5882,1.0,0.5882,0.8588,0.2
128,RF,Train,0.875,0.9333,0.7778,0.8235,0.9796,0.2
128,RF,Val,1.0,1.0,1.0,1.0,1.0,0.2
128,RF,Test,0.8182,0.7647,1.0,0.7143,0.9529,0.2
128,XGBoost,Train,0.9167,0.9333,0.8889,0.8889,0.9815,0.21176470588235294
128,XGBoost,Val,1.0,1.0,1.0,1.0,1.0,0.21176470588235294
128,XGBoost,Test,0.8182,0.7647,1.0,0.7143,0.9647,0.21176470588235294
128,PCA+XGBoost,Train,0.875,0.8667,0.8889,0.8421,0.9787,0.24705882352941178
128,PCA+XGBoost,Val,0.8667,0.8,1.0,0.8333,0.96,0.24705882352941178
128,PCA+XGBoost,Test,0.7273,0.7647,0.6,0.5,0.8353,0.24705882352941178
